network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
599,1,4,492.983263442656,1,0.606818080396889,1,1,0,1
472,1,3,1557.99646112043,1,0.301568967596089,0,2,0,0
629,1,3,75.0442616642074,1,0.739164327916383,2,0,0,1
804,2,4,601.248835170832,1,0.123267175752484,0,4,0,1
453,1,5,532.540888420141,0,0.0548738567431703,1,2,0,0
453,2,5,380.471550245313,0,0.422485860706669,2,0,1,0
815,0,4,728.107164697235,0,0.413771928589298,1,0,0,1
653,1,3,12.5999060098958,1,0.0977193658576949,3,0,1,1
406,1,2,542.558895220897,2,0.294579687650088,0,0,1,0
608,2,6,531.944106621139,2,0.424116564166354,1,0,0,0
407,2,6,580.721925367075,1,0.122893738906462,3,2,0,1
406,2,9,191.05283693267,1,0.339711271343389,1,1,0,1
548,1,2,186.147638341507,2,0.406898632606709,2,3,1,0
117,1,4,833.488964949139,1,0.473291904792399,2,4,0,1
155,1,3,77.8499515743905,2,0.352475574522792,3,0,0,1
387,0,6,292.136196007389,1,0.254912451136279,3,0,0,1
297,1,8,1421.41437176103,0,0.345367552273892,3,2,0,1
562,2,1,87.6410016883502,2,0.136729189757969,2,2,0,0
318,1,5,504.988669976574,0,0.394231456889638,1,4,0,1
217,0,2,883.617567848425,1,0.31011315705121,0,0,0,0
793,1,3,122.189414208928,0,0.369324649328086,2,2,0,0
454,1,1,299.711547974277,2,0.373874591605735,1,0,0,0
513,1,3,654.526142645977,0,0.497029543554945,1,2,0,0
215,1,8,317.078858105776,0,0.461950842242767,2,0,0,1
391,1,5,93.1711249982225,0,0.536245189457405,2,2,0,0
522,1,4,211.595842538346,0,0.10789855760556,3,2,0,1
269,1,9,92.7016929737148,2,0.506819425684888,0,0,0,1
575,1,3,3286.22172776774,1,0.420471185046786,0,0,0,0
379,2,2,214.98212232301,0,0.786315444271067,2,0,0,1
441,1,7,604.961552288648,0,0.336031847793607,0,2,0,1
379,1,1,447.623307307728,1,0.0993898185618982,0,0,0,0
870,2,2,674.271630768752,1,0.27208684056236,1,0,0,1
497,1,1,551.469338995869,2,0.0351392525704552,1,0,1,0
288,0,2,1039.10118603804,0,0.110269438624984,3,0,0,1
664,1,6,1650.94209926979,2,0.391544208655026,2,0,1,0
255,1,2,268.713237967472,0,0.517336176834804,1,0,1,0
541,1,5,162.287308081791,2,0.137975823412311,2,0,0,0
108,1,7,3325.30868946569,0,0.0795093219361312,2,2,0,1
234,1,5,1608.3650968582,1,0.645904259825217,4,2,0,1
539,1,4,361.942594582981,1,0.308789959920653,0,0,0,0
647,1,2,1801.41325899014,2,0.299184039435972,1,0,0,0
534,1,4,888.255588244973,0,0.0367521363575246,3,0,0,1
476,1,4,460.178456343743,1,0.397419461591766,2,1,0,0
439,1,5,1653.5169443242,2,0.245313114869744,2,0,0,0
204,1,4,899.840302979816,1,0.337321139541778,1,0,0,0
356,1,2,1401.0372662699,1,0.672976827991364,1,0,0,1
407,1,7,432.697683047584,1,0.081769711383674,3,1,1,1
711,1,5,1282.42857138394,0,0.207445483534184,2,1,0,1
568,1,6,365.735554866982,0,0.534368332245606,2,4,0,1
147,1,1,1062.65914973058,0,0.263372631726896,1,1,0,0
564,1,2,457.495200880808,2,0.219704731816743,1,1,1,0
422,1,5,415.61679508411,0,0.466324168142167,1,0,0,0
364,1,5,1274.1942392067,0,0.870833688829804,2,2,0,1
622,1,6,106.858743646612,2,0.32988897016005,1,2,1,1
706,1,4,2107.19716665885,1,0.465856258734575,2,1,1,0
686,1,3,568.52889823966,1,0.613643253628143,1,2,0,1
332,1,2,808.644659505591,0,0.17424548207039,2,0,0,0
438,1,4,415.706763068846,1,0.217234636933344,1,0,0,0
566,2,5,830.483464807917,1,0.602850193446742,1,2,0,1
695,2,1,989.889796094278,0,0.259418552130799,2,1,0,1
404,1,9,1622.86087086444,1,0.23567555024295,2,0,0,1
462,1,5,1541.39677030709,0,0.0400191829191788,2,0,0,0
278,1,8,354.302710173607,0,0.511602645717624,2,1,0,1
260,2,6,765.383721015612,0,0.540234287321028,1,0,0,0
662,1,3,1213.40421214116,2,0.454412186402234,1,3,0,0
771,0,6,1158.0712322461,2,0.135778504821881,2,0,1,0
485,1,5,1772.62294817479,2,0.43629874182854,2,0,0,0
700,1,6,1426.76422545283,1,0.199766630839627,4,0,0,1
572,1,10,1012.26995086724,1,0.164457347992441,1,0,0,1
370,1,1,1105.38060222404,0,0.408653716899709,2,0,0,1
572,1,6,1317.89359479617,0,0.205391787657629,0,1,0,0
807,1,3,1455.57677968416,0,0.627154754852407,0,4,0,1
492,1,4,347.9180541837,0,0.263864328133498,1,1,0,1
812,2,7,1217.91391955441,1,0.651720998102494,2,0,0,1
64,1,6,2384.02866868842,2,0.512511542961173,1,0,0,0
664,1,3,212.176596063129,2,0.105560285720703,0,0,0,0
517,1,5,39.5496637541011,1,0.336033753106514,1,1,0,1
440,2,5,60.1205404906327,1,0.346652348451433,1,0,0,0
518,2,7,195.410179883005,0,0.447208836384873,0,0,0,1
102,1,3,2018.48932339663,2,0.208078319662466,2,1,0,0
456,1,5,108.468935623068,1,0.109762509848901,2,2,0,0
571,1,5,1101.40176801554,1,0.48182221376015,2,0,1,0
795,1,6,1614.18860988905,0,0.179652028423028,2,0,0,1
396,1,6,1679.85269675031,2,0.610744010728558,0,0,0,1
338,2,2,431.309553496373,0,0.325485569641319,1,1,0,0
399,1,3,546.97221692611,2,0.59543354960029,0,0,0,0
683,1,5,312.361327648857,0,0.341571912762086,3,2,0,1
565,1,8,127.51964209032,0,0.198150387708402,2,0,1,1
394,2,4,190.77965331945,0,0.384014994709026,1,0,0,1
602,1,4,115.821929780725,0,0.282699535427442,1,0,1,1
519,1,3,418.753592067047,0,0.507471856153754,2,2,1,0
693,1,4,149.396824349195,1,0.746532992104791,2,1,0,1
359,1,4,413.207748179898,0,0.396135480132816,3,0,0,1
434,2,7,1524.06327976708,1,0.265375087648388,0,2,0,1
421,1,7,850.246296244468,1,0.736307166750659,3,3,0,1
207,2,4,869.548849740396,0,0.18019522919592,3,2,0,1
559,1,3,1336.48097192232,0,0.280459505022131,1,3,0,0
552,1,2,33.6528038066579,0,0.311972498306627,0,2,0,0
501,2,3,1265.88980991838,0,0.359586097716788,2,2,0,0
453,1,5,174.871989774433,0,0.439698955931957,2,2,0,0
216,1,6,339.628933686375,0,0.792908723614886,0,1,0,1
415,1,2,294.584967222341,0,0.204681271087353,3,0,0,1
431,1,2,89.3314278752795,0,0.0213026825741628,2,2,0,0
339,1,3,152.647505474536,1,0.40868098195241,2,2,0,0
467,0,1,2505.19022476931,0,0.209988620209301,2,0,0,0
580,0,3,733.577284490481,1,0.242245249827694,2,0,0,0
877,1,4,513.920305546803,2,0.181515663653283,0,1,0,1
534,1,4,1134.37592486628,2,0.635654906094974,2,0,0,1
551,1,5,1344.48670415075,1,0.215335638918548,0,2,0,0
485,1,6,93.4633610757904,1,0.406331227507351,2,0,0,0
116,1,4,1080.44967415233,0,0.462368709867402,0,1,0,0
494,1,6,2155.27687315877,0,0.408226133146343,1,2,0,0
512,1,6,704.422488537655,1,0.221273258671072,1,0,1,0
992,1,2,761.859681822502,1,0.0425389889151891,1,2,0,0
461,1,3,1634.6869979484,1,0.0902244146247547,1,1,0,1
560,1,5,910.254869782317,1,0.293848130472684,2,0,0,0
493,2,1,4282.64331141191,1,0.427157044120473,1,4,0,0
266,1,5,265.801795009461,2,0.310699612649912,2,3,1,1
728,1,9,1493.94838510577,1,0.344070749230262,0,0,0,1
650,1,9,758.244151137057,2,0.397054058631539,1,0,1,1
658,1,3,364.231426484389,1,0.422818253527816,1,0,0,0
318,1,2,1716.87318346528,1,0.173547596968025,1,1,0,0
780,1,5,4468.00125309863,2,0.513376978591341,1,0,0,0
219,0,4,47.6720891871051,1,0.0839245230551094,3,2,1,1
617,1,5,2077.80932709325,0,0.756641279217048,1,2,0,1
938,1,5,181.631908367454,0,0.328952528576428,2,2,0,0
301,1,6,183.719758273934,0,0.263931383543525,2,2,0,0
386,0,1,34.1223456791619,2,0.29231320314459,1,0,1,0
519,2,8,2042.7649588398,0,0.233775325858581,3,0,0,1
399,2,6,1139.6890598424,0,0.717362731155983,1,0,0,1
189,1,1,43.944499868407,0,0.324800802082674,2,0,0,0
513,0,3,803.082265264198,0,0.145353830782854,0,0,1,0
287,1,6,102.388924197696,2,0.0638388079990007,1,0,0,1
594,1,9,1113.5448828433,0,0.201536376191549,1,2,0,1
316,2,3,420.824296444934,1,0.101049711815856,0,0,0,1
809,2,4,42.5323174939569,0,0.184021750224781,1,4,0,1
343,1,5,1414.78184696316,0,0.109978894686513,3,1,1,1
435,1,4,679.678516084733,0,0.251661490626902,3,3,0,1
662,1,1,1185.77977535692,0,0.506076780728524,2,0,0,0
253,1,1,897.990081895235,1,0.238038681923621,4,4,0,1
545,1,4,455.889120937116,0,0.262453771531933,3,4,0,1
761,0,1,959.630015899727,0,0.177541301540573,2,0,0,0
178,1,3,11.8907005115723,0,0.286340688912629,1,1,1,0
536,2,3,332.094308074114,1,0.703334183991441,0,2,0,1
551,2,3,1203.53418944523,1,0.117891497332931,2,0,0,0
656,1,5,1151.96510572215,0,0.345206646164478,1,0,0,0
252,2,4,1747.19740550084,0,0.306495936479882,0,2,0,1
235,1,3,755.434368901311,0,0.250965986111419,3,0,0,1
604,1,3,2280.56894219551,2,0.803907588298027,0,0,0,1
559,1,3,652.635594028259,0,0.132526685242951,2,0,0,0
550,1,1,555.244485175203,2,0.365041797649767,2,0,0,0
569,2,7,175.736280851279,2,0.51671417169513,1,0,1,1
363,0,6,1207.08213322881,0,0.351040042258278,2,0,0,0
546,1,5,942.27286479311,0,0.343655959685132,1,0,0,0
558,2,9,494.076646270874,1,0.314431634104146,2,3,0,1
357,1,9,72.9108129763925,1,0.199537316684463,2,1,0,1
873,2,3,107.467548699265,1,0.0512262805867224,2,0,0,0
594,1,3,97.2472008783685,0,0.407685945622672,4,0,0,1
261,1,10,376.770385776313,2,0.240699299676979,1,3,0,1
631,1,6,138.509562837125,0,0.100603632546575,1,0,0,0
305,1,6,1577.71681124868,0,0.346916590070728,1,1,0,0
657,1,6,1836.85406640474,2,0.147279396713671,3,0,0,1
731,2,5,1554.63761490905,1,0.254922627541359,2,2,0,1
335,1,3,750.94142908529,1,0.12309678522027,3,0,0,1
692,2,7,725.776389906539,2,0.523197620283548,2,0,0,1
582,2,5,1772.56894785165,0,0.232832330809843,1,0,0,0
664,1,8,417.115906586695,0,0.371064229072809,2,1,0,1
879,1,5,51.4979803153643,2,0.101001663122961,0,2,0,1
450,2,1,508.496282870213,0,0.257770485644411,2,0,0,0
349,1,8,645.429880533484,0,0.242800051494813,1,0,0,1
322,1,1,637.832784893026,0,0.199911269106499,1,0,0,0
336,1,2,138.534775845617,2,0.117115576544361,2,0,0,1
484,1,5,1223.81027323163,0,0.395754209009435,1,0,1,1
568,0,5,1053.31586657996,1,0.189134670937744,2,1,0,1
555,1,5,208.939029773488,0,0.551708412894967,1,0,0,0
665,1,6,640.994533548561,1,0.50037133918801,3,2,0,1
502,1,12,1249.76949549871,1,0.298214019671843,1,2,0,1
790,2,4,6.17144146744668,1,0.19697263287122,2,2,0,1
447,2,3,257.437738828137,0,0.0676815431149165,0,2,1,0
1044,1,4,510.984573662158,0,0.500439394136011,2,1,0,0
625,1,1,1491.62724420877,0,0.229239607765022,3,0,0,1
328,1,4,1283.43003817171,2,0.279087731077273,2,0,0,0
285,1,7,130.949829595548,1,0.254656669690311,2,0,1,1
596,1,2,497.021324121448,0,0.117917916435938,2,0,0,0
455,0,2,290.656679499865,2,0.404946429421239,2,2,0,0
642,1,1,410.574332504424,2,0.253513950149869,2,0,0,0
594,1,4,622.310399457804,0,0.811027788436835,2,0,0,1
485,2,4,553.46334225243,1,0.0914983771525435,2,0,0,0
330,1,2,122.124435284366,0,0.550907729049448,0,1,0,0
197,1,7,103.80282808339,0,0.444103086563627,2,1,0,1
410,1,5,111.656962749238,0,0.391004361488333,1,1,0,0
671,1,4,1472.53265814318,1,0.109354345180917,3,4,0,1
542,2,5,16.1093960765342,0,0.310733073764983,1,2,1,0
250,1,4,180.923095815068,0,0.175276251472751,1,0,0,0
534,1,7,2496.88726133268,1,0.245132296474788,1,0,0,1
577,1,5,54.6413453877019,2,0.299448435170842,1,1,0,0
323,2,5,29.5979936531362,1,0.277632761950288,1,0,0,0
530,1,5,391.942177518652,1,0.301605385721787,2,2,0,0
511,1,2,131.145883808016,0,0.138914789993963,2,0,0,0
271,0,3,667.332862163951,1,0.0863630197646222,3,0,0,1
571,1,5,330.694172395316,1,0.0989605835813575,0,2,0,0
612,2,3,187.53491416212,1,0.534195672966328,2,3,0,0
716,1,3,5258.00787667244,2,0.0806761863988792,2,0,0,0
710,1,2,333.751806132109,1,0.371247348041421,3,2,0,1
224,1,5,819.560682751634,1,0.263483980310694,2,1,0,0
312,1,4,1657.89673281363,0,0.236372239984867,1,0,0,0
603,1,8,2044.81785114225,0,0.651433787715298,3,0,0,1
602,1,7,422.278826906448,0,0.215094860114679,3,1,0,1
603,1,1,2988.98678767311,1,0.276089652474157,2,0,0,0
1270,1,5,1031.52381510024,1,0.77461575860488,1,0,0,1
614,1,7,700.264440049194,0,0.148814945495198,3,0,0,1
727,0,2,945.454259300091,0,0.651828633556786,1,0,0,1
690,1,8,357.201917073296,2,0.212842269382158,1,0,0,1
630,0,3,441.881325776271,0,0.337940370169605,2,1,0,0
436,1,2,706.031523792522,0,0.359457451063239,0,0,0,0
651,1,7,316.610812206114,0,0.273088318399602,2,0,0,1
345,1,3,1171.61834299822,2,0.382091434364601,1,4,1,1
452,2,4,231.305752695472,0,0.175889860081345,3,3,0,1
402,2,6,1274.87334307703,0,0.418685906402588,1,0,0,1
516,1,7,132.048160195963,1,0.256915858433423,2,0,1,1
962,2,3,196.097520148678,0,0.566783447115606,1,0,1,0
126,1,2,1118.99780778519,0,0.251305311103651,1,0,0,1
637,1,7,244.287586107514,2,0.123828365846015,1,0,0,1
177,0,3,1269.33626525422,2,0.112941756875011,1,2,0,0
405,2,5,1225.50014801171,0,0.730273905701469,0,0,0,1
717,0,3,237.971802276405,0,0.614620604854026,2,4,0,1
512,1,2,60.7112906194585,0,0.427602943187209,3,0,1,1
284,1,5,145.563457420642,0,0.472629242222609,1,2,0,0
356,1,5,1117.16215729095,0,0.241214335695025,1,0,0,0
635,1,10,1501.82358857786,0,0.0724900815297521,3,2,0,1
353,2,5,386.38098406554,0,0.427222495536614,0,0,0,0
543,1,4,143.510768015435,2,0.164087377553793,0,1,0,0
509,1,5,62.7756061135096,0,0.663391628500808,2,0,0,1
369,1,4,194.489299532585,1,0.44178401306201,1,0,0,0
928,1,5,3117.11112373012,0,0.219237879732727,2,0,0,0
626,1,6,149.326854401643,1,0.48759255726061,1,0,0,1
94,1,3,72.0859547128529,0,0.16730034409455,2,0,0,0
537,2,4,1231.45768962121,0,0.317502068903816,0,0,0,0
367,1,6,764.465068442229,2,0.552296104896747,1,0,0,0
670,2,4,612.267004232059,1,0.632472946035741,2,0,0,1
341,1,4,475.152121882963,1,0.114246417654439,1,0,0,1
477,1,5,968.103473615223,2,0.17633419954005,0,0,0,0
600,1,3,958.803542849562,2,0.317945613826872,1,1,0,0
673,2,5,441.909851184139,0,0.245764910776306,3,0,0,1
259,1,3,213.496481047666,0,0.592040118362233,3,2,0,1
433,1,3,1472.40752574174,1,0.463348175912194,3,1,1,1
405,1,10,143.897059350423,0,0.571196954239696,1,0,0,1
369,1,3,610.866554629613,0,0.307482393566469,2,2,0,0
853,2,4,943.877265223019,0,0.397246424814896,3,2,0,1
580,2,2,814.829249224178,2,0.125007080544906,2,0,0,0
247,1,5,771.532987711312,1,0.127583050038121,2,0,0,1
683,1,3,868.966499861094,2,0.295363963011401,0,0,0,0
924,2,6,1667.75571753058,0,0.288450033334084,2,0,0,0
706,1,4,363.798954634642,0,0.248932846360351,2,2,1,0
196,1,3,789.878243006023,0,0.26401419836898,1,0,0,0
403,1,3,955.130012082625,2,0.272788496833843,1,0,0,0
753,1,2,713.915926948315,0,0.55680057492455,2,1,0,0
358,1,2,1866.45723158372,1,0.447738083476279,1,3,1,0
588,2,2,850.855837906922,1,0.207947551177627,4,0,0,1
654,1,6,441.914258117592,1,0.0991734814552741,0,1,0,0
314,1,6,1494.50008245499,1,0.0805571353825306,3,3,0,1
488,2,5,537.998278704274,0,0.296293922991517,0,0,0,0
64,1,4,604.296028734614,0,0.245609204846883,1,0,0,1
295,1,4,698.354192021204,1,0.453387844657327,4,2,0,1
449,1,2,311.812813564501,0,0.301447601812725,1,0,0,0
250,1,4,1025.66231758543,0,0.143158553501447,2,0,0,0
826,2,9,82.6245325819055,0,0.390141664732492,1,0,0,1
213,2,3,1625.12598794967,0,0.294838013429372,1,0,0,0
411,1,4,1123.68969646346,0,0.080983718175502,1,0,0,0
526,2,3,349.108777232446,2,0.238750210485734,2,0,0,1
788,1,5,205.353137634452,1,0.305117008350693,2,1,1,0
212,2,6,392.685003763433,0,0.369986536720702,1,0,1,0
732,1,2,1308.02030790956,0,0.19190465735152,4,1,0,1
502,1,6,25.6639155698013,2,0.217315965555452,3,0,0,1
303,1,4,504.775540409649,2,0.036139235611379,1,0,0,0
592,1,1,234.541942500477,2,0.408215129621812,2,1,0,0
539,1,2,1663.24225328265,0,0.135376811751417,2,3,0,1
379,1,4,427.332139383055,1,0.708267730096643,1,2,0,1
513,2,4,957.593324494753,0,0.21037234876705,1,0,0,1
422,1,5,354.399623017495,0,0.0395255450832942,1,3,0,1
522,0,7,320.023528458374,0,0.71912151893511,1,2,0,1
632,1,6,315.469257490297,0,0.381284963463237,2,2,0,0
817,1,7,906.996920977117,2,0.207692399158157,1,0,0,1
252,2,5,2664.76025362716,1,0.322920545904247,2,2,0,0
926,1,6,186.701339156171,0,0.264824667782404,1,0,0,0
109,2,3,826.037724716193,2,0.507041505033235,2,2,0,0
469,2,3,246.780815380797,0,0.385236210222152,3,0,0,1
617,1,3,637.651528100851,1,0.348054976315097,1,0,0,1
556,1,3,624.008485051318,1,0.168913980868443,1,2,0,0
375,1,3,478.336540658943,0,0.231506389084541,3,0,0,1
458,1,6,552.351316482427,1,0.148239516794451,3,0,0,1
401,1,4,1697.75330266345,0,0.434880854207578,2,0,0,0
382,2,5,74.2226922136698,0,0.0782615402149965,2,4,0,1
669,1,1,1418.89901272195,0,0.452811981006544,1,0,1,0
571,1,3,496.383430912899,0,0.308044553720591,4,2,0,1
361,1,4,324.684990511572,2,0.308993445800755,0,3,0,0
679,0,1,155.981170188396,0,0.350909058843324,2,1,0,0
561,1,4,1349.08306477927,1,0.424437996375319,1,0,0,0
662,1,6,717.273294881862,0,0.344299883487684,3,0,0,1
625,1,7,1042.66839556858,2,0.215164419828811,2,0,0,1
334,0,4,302.62624168587,1,0.372264785803091,3,0,0,1
387,0,2,399.327501585207,0,0.395613837280464,1,2,0,0
649,1,3,1959.41908156516,1,0.306566380352033,2,2,0,0
622,2,3,2599.10286052232,0,0.0603654977219078,2,0,0,0
495,1,4,1077.1734625145,0,0.703207906024994,3,4,1,1
523,0,3,1107.20084313624,1,0.406877814323998,0,0,0,0
755,1,1,948.383302666118,0,0.75885213312559,2,2,0,1
381,1,6,707.852908169962,0,0.398148573308081,2,2,1,1
609,1,5,723.249310271054,1,0.237840731001067,4,0,1,1
459,1,7,2655.0208061173,0,0.385317833136927,2,0,1,1
456,2,2,1111.95770516508,0,0.191032584165167,2,0,1,0
